Mileage (km/l),Engine Size (cc),Price (Lakhs)
21.08,1000,18.18
15.0,1200,15.47
23.36,1800,29.36
27.83,1000,19.6
19.89,1000,14.58
21.73,1000,14.21
16.58,1000,15.93
24.65,1000,20.12
12.06,1000,14.58
18.63,1500,24.03
11.85,1800,20.51
14.25,1500,17.96
22.51,800,18.5
19.12,2000,29.41
14.93,1800,24.78
15.27,1200,17.92
11.53,1000,11.8
19.17,1800,27.21
19.09,1500,21.93
8.89,2000,26.1
19.97,2000,28.38
15.99,800,13.88
8.34,1800,23.68
14.23,1500,22.4
14.5,1500,22.17
11.39,1000,12.83
9.79,1500,18.88
19.2,1800,26.09
24.68,1200,21.58
13.14,1000,17.57
20.63,1200,19.86
21.08,1500,25.9
20.63,1000,20.79
15.2,2000,26.26
20.63,1800,25.2
14.87,1200,16.28
16.59,1800,23.85
19.74,1200,19.35
19.08,1200,20.9
23.62,1800,28.85
15.63,800,13.71
16.26,1500,18.88
19.96,1200,17.24
13.97,1200,16.94
18.48,1000,20.31
15.9,1800,25.11
18.61,1000,19.97
19.97,1200,23.97
17.57,1000,18.81
23.72,1000,15.93
21.88,800,10.76
14.26,1000,15.88
23.58,1800,24.75
17.12,800,13.7
23.45,1200,21.58
21.82,1000,17.54
21.72,1200,21.43
16.67,1500,19.89
18.25,1800,23.95
12.5,1200,18.92
15.22,800,12.12
22.78,2000,28.57
17.61,1500,20.24
21.77,1200,19.66
21.18,1000,17.05
27.76,1500,24.25
17.42,2000,22.03
17.86,1500,24.1
11.39,1200,19.5
20.04,800,16.2
22.05,1200,26.06
21.27,1000,21.31
18.4,1500,24.7
9.84,1800,19.32
17.69,1500,21.68
22.06,1000,18.63
13.46,2000,23.34
18.18,1200,23.63
20.11,1000,14.39
17.52,800,17.72
22.37,1500,23.88
17.25,1200,20.4
7.74,800,11.77
11.52,1500,16.85
8.92,1800,20.6
27.29,1200,21.3
20.29,800,17.18
14.05,1000,19.34
22.81,1000,19.35
20.56,1200,23.41
22.47,1000,17.58
19.35,1800,25.69
16.67,1000,17.77
23.44,1800,23.89
5.12,1200,14.55
15.0,1200,19.48
18.83,1200,21.79
19.92,1500,23.17
11.72,1500,17.31
18.92,1200,20.52
29.51,1200,22.73
17.31,1200,20.41
18.8,1200,18.39
16.77,1000,14.06
17.27,1800,23.66
17.51,1500,18.79
19.07,1000,17.27
18.37,1200,22.85
14.74,1000,14.75
20.57,1200,19.01
15.33,1200,17.14
14.07,1200,19.22
21.84,1200,22.76
21.7,2000,29.61
24.59,1200,18.98
21.24,1000,20.51
20.33,1200,20.81
23.84,1500,27.25
17.72,1800,26.49
23.43,1200,19.98
14.45,2000,25.57
26.4,1200,23.27
22.32,1200,19.33
21.22,1200,21.1
12.83,800,12.16
12.15,1000,16.89
15.11,1200,15.59
15.7,1800,20.84
15.38,1000,15.26
21.52,1500,24.48
26.71,1200,22.59
18.13,1000,12.91
17.33,1200,20.21
22.34,1200,19.43
18.49,800,14.35
10.08,2000,23.74
13.53,800,10.95
15.22,800,13.79
24.81,800,19.37
11.2,1200,14.26
13.53,1200,16.3
16.95,1200,18.44
14.02,1200,16.35
15.24,1000,13.24
17.04,1500,21.88
14.49,1000,15.56
24.18,1000,20.82
14.83,1000,17.04
25.4,1000,18.51
20.27,1200,20.4
16.35,1500,20.67
16.83,1800,23.52
17.73,1000,17.48
20.73,1500,27.69
21.9,800,19.88
24.43,1000,20.18
16.78,1800,23.7
23.6,800,16.35
23.34,1200,21.35
13.64,800,17.21
10.63,1200,15.55
14.34,1500,18.98
17.65,1000,15.62
16.76,800,16.36
20.83,1500,24.58
13.56,1200,17.32
15.13,1200,17.64
16.57,1000,18.76
18.82,1800,24.54
12.43,800,10.14
16.14,1200,16.89
14.34,1200,15.21
17.09,800,15.01
18.0,1200,20.24
15.08,1800,22.0
19.7,1200,22.03
17.75,1000,16.11
14.18,1200,18.92
12.61,1000,14.21
17.1,1800,29.12
19.3,2000,26.75
21.9,1500,25.88
20.39,1200,19.63
23.01,1000,17.62
16.21,1000,19.66
13.59,2000,23.32
15.68,1000,17.35
15.58,1000,17.76
17.02,1800,21.45
21.8,1200,20.74
21.37,1500,22.37
19.58,1000,16.96
16.07,1200,17.39
25.56,2000,32.48
16.73,1000,19.04
17.25,1500,19.79
22.68,1500,24.35
24.4,1200,21.11
21.64,1200,20.86
11.12,1200,19.38
18.45,1000,17.66
24.37,2000,30.89
13.97,1800,20.56
16.26,800,12.16
16.86,1200,16.26
25.46,1200,24.28
22.41,1200,20.35
18.16,1200,17.44
19.6,1000,16.6
16.32,1200,18.03
14.01,1200,16.93
17.98,1200,19.06
19.23,1000,15.75
18.44,800,14.72
20.58,800,11.08
19.26,1200,21.21
15.04,1000,20.06
15.01,800,15.23
26.33,1200,20.8
14.05,800,14.71
20.32,1800,22.94
19.57,1000,17.83
14.66,1200,20.76
12.04,1500,18.73
14.8,1000,17.52
19.02,1000,17.96
8.9,1500,19.26
20.22,1800,23.61
17.16,1200,24.13
26.8,1200,25.21
15.16,1800,18.47
13.62,1200,20.33
16.31,1000,18.5
14.87,1500,21.89
21.03,1500,24.24
18.55,800,15.75
16.53,1800,24.6
23.22,1800,25.76
21.69,1200,23.16
19.57,1200,22.3
15.39,1800,22.85
18.45,1200,17.58
23.54,1800,31.34
19.67,1200,19.66
15.67,1200,19.22
14.75,1200,15.32
19.43,1800,24.92
14.73,1000,17.46
12.03,1000,14.7
14.81,2000,23.62
21.29,1500,22.02
17.45,1000,19.82
17.3,1000,15.3
14.09,1200,16.23
13.47,2000,23.96
16.19,1800,23.85
20.67,1500,25.68
21.65,1500,22.39
17.33,800,16.84
24.43,1200,19.86
13.59,1200,18.05
24.88,1800,30.85
17.51,2000,28.22
16.53,1200,21.22
26.81,1000,20.72
21.34,1800,27.68
14.2,1200,15.38
22.6,1800,26.09
23.2,1200,21.4
10.12,1800,22.84
20.81,1500,20.77
26.39,1800,30.03
15.85,1200,13.49
16.68,1000,18.6
18.12,1200,15.17
18.26,1200,19.34
27.9,2000,30.41
19.9,1000,15.07
19.36,1500,18.89
19.32,2000,26.85
19.47,1500,25.18
19.61,1200,17.79
17.9,1500,23.02
14.96,1200,17.64
24.26,1200,22.62
15.63,1200,17.07
12.46,1500,22.1
22.53,1200,21.21
21.18,1200,18.79
21.27,1200,19.08
20.44,1200,20.91
20.15,800,16.98
18.17,1200,18.31
18.92,1200,21.18
23.52,1000,17.15
12.8,1000,11.06
9.66,1500,18.4
9.75,1200,15.31
22.05,1000,17.69
22.62,1200,21.74
24.39,1500,27.23
20.69,1200,15.81
22.63,1800,25.78
18.73,800,15.81
12.37,1200,17.41
17.23,1200,16.04
19.05,1200,22.04
20.57,1200,19.13
15.67,1200,16.62
21.35,1200,22.56
26.33,1500,24.85
