Area (sqft),Price (Lakhs)
1415,41.9
560,10.2
960,29.55
2332,72.26
1709,46.31
2677,74.26
2491,78.08
2596,73.26
1232,34.27
2690,78.13
2695,81.35
2301,74.31
1048,32.16
625,24.33
2472,74.48
2891,88.33
520,12.18
1832,54.47
2667,77.53
1847,60.39
1508,46.06
887,29.23
618,12.36
1892,61.25
2173,67.12
2615,75.93
1340,41.31
2248,72.2
2301,72.8
2518,77.38
2669,80.21
2873,87.5
612,24.49
906,32.68
2012,60.91
759,12.51
926,27.7
1710,45.93
1350,36.0
842,20.8
1889,54.9
1486,45.27
1659,49.9
997,26.76
563,15.9
2913,88.69
1193,38.44
1806,57.0
1115,26.91
553,15.83
1656,47.93
1143,30.31
2704,86.97
762,27.87
2346,70.1
2458,82.2
931,22.91
1101,42.48
2774,85.88
1449,44.26
2259,62.36
2582,83.8
1355,40.11
1215,37.14
2115,63.64
1032,29.42
1850,57.52
1054,31.0
843,25.44
2153,57.53
2614,85.5
2629,73.02
964,25.24
937,26.62
2938,91.35
910,25.21
689,28.62
2473,75.18
562,16.28
2342,69.51
1263,27.64
1060,34.4
2567,80.37
1906,62.5
2741,85.43
2271,71.32
853,22.37
2252,69.06
2669,83.78
1194,39.13
866,15.96
1422,42.99
1079,29.18
1348,37.58
2855,85.7
1683,47.29
2033,60.61
1796,58.73
631,15.58
1873,58.99
1981,67.83
905,32.32
713,20.67
2167,64.02
975,21.38
1997,51.41
2546,69.84
1427,45.05
727,26.16
2636,87.03
1093,25.64
889,25.71
2220,66.5
919,29.15
1878,54.06
2997,82.28
1324,40.41
1413,44.96
1511,50.14
1538,43.12
2883,87.53
1869,49.42
533,17.45
2500,71.57
2646,75.19
2205,65.78
1623,52.09
2477,75.35
691,20.46
2948,90.46
1280,43.38
1672,49.52
1305,37.24
705,17.98
1306,43.8
2747,87.91
1197,32.68
2477,74.97
1658,43.53
1599,48.47
927,25.93
1804,49.19
1790,55.02
1759,58.03
867,33.77
2850,89.99
2506,71.56
2990,85.7
1368,45.12
2504,80.02
2310,70.58
1039,32.29
1351,41.87
1121,36.01
2893,86.27
757,18.75
537,20.09
630,15.58
923,28.82
1834,49.92
1382,42.64
1630,45.21
1271,35.53
1016,34.46
584,14.26
2711,87.54
1616,50.74
2290,74.79
2643,79.92
960,30.99
1828,49.89
2150,74.8
774,17.74
1313,29.99
1598,44.5
2584,79.27
1879,54.91
1611,53.27
2472,71.31
2939,88.16
610,15.88
1188,39.87
2949,86.65
875,21.3
2191,72.72
1899,56.29
1252,35.26
2269,73.78
2798,72.69
2719,81.97
2916,84.13
2847,90.49
2837,83.86
878,21.55
560,14.79
2883,89.33
1744,61.21
1601,54.56
2851,74.22
1813,59.91
1912,60.29
1828,53.81
2381,75.73
1657,44.94
1436,38.47
1586,48.74
979,23.11
1073,30.64
731,25.06
1260,42.81
912,24.94
1543,47.39
612,12.35
2560,67.68
1987,58.01
2381,73.91
1637,53.49
2884,85.33
1526,40.37
725,22.96
2270,72.65
552,12.3
2940,91.73
1038,31.17
547,16.44
2763,80.4
1901,49.13
2956,85.93
2095,59.26
527,21.69
2964,90.11
2057,64.72
2117,69.2
1866,46.13
627,20.7
2730,81.73
2990,85.38
745,18.74
880,16.89
823,27.2
1458,42.42
2838,87.68
2734,80.22
1396,45.04
2687,83.06
546,13.34
1230,34.95
1623,44.19
2118,63.64
2971,93.33
859,26.58
2745,83.23
