Area (sqft),Price (Lakhs),Bedrooms
1360,67.62,3
1794,65.93,2
1630,55.05,1
1595,53.31,2
2138,77.95,3
2669,86.17,2
966,28.15,2
1738,67.01,2
830,37.34,3
1982,80.66,5
2635,90.1,2
630,36.46,3
2185,83.95,4
1269,53.06,3
2891,100.46,2
2015,68.65,2
2933,99.5,2
1715,53.15,2
1455,47.44,2
2824,102.75,3
1684,54.05,2
959,39.94,2
521,29.9,3
2800,92.18,2
1247,53.27,4
974,48.77,3
1582,66.11,2
2547,92.91,3
1475,60.86,3
2306,80.77,3
689,24.69,2
1062,41.66,2
2399,82.1,3
1767,54.15,2
2028,74.86,2
1146,43.64,1
2568,87.75,3
2714,92.64,2
1797,78.92,4
2935,104.08,3
1100,47.03,4
2863,109.73,5
2561,103.46,4
741,43.47,4
2541,88.93,2
1863,72.6,3
2639,84.89,2
1890,63.6,2
1978,76.03,3
1275,57.33,3
534,31.52,2
2753,93.3,3
2455,95.82,4
2085,83.49,3
1521,55.69,3
1629,76.3,4
2000,93.19,5
1202,64.19,3
2949,109.62,4
2079,88.55,5
661,43.96,4
701,35.02,2
2481,90.06,2
1495,58.77,2
2817,88.98,1
1315,60.56,3
955,38.29,3
1775,73.28,4
1516,63.3,2
2843,99.04,4
837,36.72,3
1378,59.7,3
1576,69.25,4
1291,49.35,3
2764,90.84,2
1263,51.99,4
2735,96.95,2
879,30.09,1
992,58.72,4
1680,60.81,2
2562,90.76,3
564,25.34,2
1867,74.79,4
1652,60.11,2
2527,113.37,5
1995,73.16,3
1662,58.33,2
2022,75.99,3
891,57.18,5
2198,68.84,2
918,39.82,2
2836,90.99,2
878,44.11,3
2296,81.41,3
2778,86.82,3
2588,89.49,2
2682,92.27,2
700,33.1,3
2363,77.7,2
1279,41.81,2
1002,53.93,4
2954,108.03,3
2251,78.13,3
1304,56.42,4
2646,94.06,3
2395,103.2,4
2070,74.83,2
1460,44.08,1
1985,71.07,2
1528,48.96,2
1002,48.65,3
897,45.29,2
1370,59.5,2
892,40.43,2
706,28.26,2
1538,54.64,3
2381,74.43,2
1984,60.49,3
1363,54.36,2
1063,46.38,3
1520,70.15,4
595,34.99,2
2423,88.19,3
2257,78.44,2
2778,91.02,2
2178,88.61,5
1040,44.84,2
1559,50.9,1
1683,63.89,3
2222,71.57,1
2319,94.0,4
2097,69.45,2
1295,58.52,4
1551,62.76,3
2143,85.09,3
1863,74.69,4
2481,80.84,2
1854,78.2,5
2163,80.16,2
2029,81.04,2
2538,79.57,2
1996,69.4,3
2737,91.27,2
1908,77.79,4
1900,80.93,4
1806,74.72,5
1472,48.84,2
2268,83.73,3
1782,62.17,2
1209,50.9,2
1979,71.81,2
1934,70.8,2
1148,48.92,3
817,51.29,3
1757,58.52,2
1183,43.54,1
1163,33.54,1
2498,74.57,1
2131,85.89,5
1995,73.0,1
1636,60.4,2
2353,77.64,2
2020,82.47,4
2989,114.85,5
1063,44.43,3
1791,61.75,3
2136,86.27,3
1198,41.99,1
2660,115.67,5
501,34.73,3
1141,51.99,3
2767,95.83,3
2089,72.19,3
1354,54.53,3
2259,87.15,5
2932,111.21,4
2161,87.99,3
1653,63.29,3
1576,57.0,1
2207,77.76,3
2195,69.34,1
2233,77.92,3
1939,72.5,5
2794,98.64,3
1335,50.69,2
702,36.39,2
622,32.64,2
900,46.04,3
1266,43.11,2
793,36.09,2
2827,102.72,2
697,37.81,3
2430,97.04,3
2691,95.82,1
1108,41.9,2
1647,60.93,3
686,31.77,3
2294,76.24,3
1159,42.18,2
2455,94.69,3
2950,87.48,2
1869,70.88,4
2486,88.94,3
2034,66.63,2
646,26.74,2
2234,79.46,3
2343,89.0,4
988,40.99,3
2459,84.71,3
2163,84.56,3
2885,106.8,3
1140,37.3,2
2302,75.26,4
2469,89.39,2
2698,84.8,2
1938,84.2,5
2134,61.19,1
762,39.35,2
2287,91.33,2
2691,101.64,4
2893,91.32,1
1123,37.08,1
1516,54.39,1
1380,49.24,1
2549,86.49,1
1827,61.67,2
2801,100.73,3
952,35.85,2
1683,55.2,2
2556,81.47,1
2182,70.85,2
2755,103.52,3
1654,60.31,3
903,33.91,1
2699,87.95,2
